run_name,label,status,timesteps_total,training_iteration,train_episode_reward_mean,train_episode_len_mean,vs_ceia_win_rate,vs_ceia_reward_mean,vs_ceia_wins,vs_ceia_losses,vs_ceia_draws,eval_episodes,train_base_port,eval_base_port,trial_dir,progress_csv,checkpoint_path,eval_json_path,error_file,ceia_win_rate,eval_agent_module,eval_baseline_module,eval_episode_len_mean,eval_episode_reward_max,eval_episode_reward_mean,eval_episode_reward_min,reward_shaping.ball_proximity.distance_scale,reward_shaping.ball_proximity.enabled,reward_shaping.ball_proximity.weight,reward_shaping.ball_velocity_to_goal.enabled,reward_shaping.ball_velocity_to_goal.goal_x,reward_shaping.ball_velocity_to_goal.goal_y,reward_shaping.ball_velocity_to_goal.speed_scale,reward_shaping.ball_velocity_to_goal.weight,reward_shaping.defensive_positioning.enabled,reward_shaping.defensive_positioning.goal_x,reward_shaping.defensive_positioning.goal_y,reward_shaping.defensive_positioning.lateral_scale,reward_shaping.defensive_positioning.weight,reward_shaping.goal_distance.distance_scale,reward_shaping.goal_distance.enabled,reward_shaping.goal_distance.goal_x,reward_shaping.goal_distance.goal_y,reward_shaping.goal_distance.weight,reward_shaping.goal_event.enabled,reward_shaping.goal_event.scale,reward_shaping.goal_event.threshold,reward_shaping.goal_velocity.enabled,reward_shaping.goal_velocity.goal_x,reward_shaping.goal_velocity.goal_y,reward_shaping.goal_velocity.speed_scale,reward_shaping.goal_velocity.weight,reward_shaping.possession_balance.control_radius,reward_shaping.possession_balance.enabled,reward_shaping.possession_balance.pass_bonus,reward_shaping.possession_balance.weight,reward_shaping.teammate_spacing.enabled,reward_shaping.teammate_spacing.target_distance,reward_shaping.teammate_spacing.tolerance,reward_shaping.teammate_spacing.weight
001_grid_0001,grid_0001,TERMINATED,1006992,126,49.96679687640075,816.71,0.05,-1.8023000001907348,1,19,0,20,50455,52471,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/001_grid_0001,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/001_grid_0001/progress.csv,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/001_grid_0001/checkpoint_000126/checkpoint-126,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/evaluations/001_grid_0001_vs_ceia_baseline.json,,0.95,compare_checkpoint_agent,ceia_baseline_agent,46.35,-0.026399970054626465,-0.09229999780654907,-0.3059999942779541,20.0,False,0.005,True,16.0,0.0,10.0,0.0,True,16.0,0.0,8.0,0.01,32.0,True,16.0,0.0,0.01,True,1.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
004_grid_0004,grid_0004,TERMINATED,1006992,126,51.3790277376873,801.34,0.15,-1.4264800012111665,3,17,0,20,50551,52567,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/004_grid_0004,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/004_grid_0004/progress.csv,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/004_grid_0004/checkpoint_000126/checkpoint-126,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/evaluations/004_grid_0004_vs_ceia_baseline.json,,0.85,compare_checkpoint_agent,ceia_baseline_agent,45.7,-0.02240002155303955,-0.091020005941391,-0.4315999746322632,20.0,False,0.005,True,16.0,0.0,10.0,0.01,True,16.0,0.0,8.0,0.01,32.0,True,16.0,0.0,0.01,True,1.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
005_grid_0005,grid_0005,TERMINATED,1006992,126,188.4996950573467,954.62,0.1,-1.6134999990463257,2,18,0,20,50583,52599,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/005_grid_0005,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/005_grid_0005/progress.csv,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/005_grid_0005/checkpoint_000126/checkpoint-126,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/evaluations/005_grid_0005_vs_ceia_baseline.json,,0.9,compare_checkpoint_agent,ceia_baseline_agent,82.9,-0.03279995918273926,-0.16523998975753784,-0.9515999555587769,20.0,False,0.005,True,16.0,0.0,10.0,0.01,True,16.0,0.0,8.0,0.05,32.0,True,16.0,0.0,0.01,True,1.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
006_grid_0006,grid_0006,TERMINATED,1006992,126,38.20409504975155,608.23,0.05,-1.8035199999809266,1,19,0,20,50615,52631,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/006_grid_0006,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/006_grid_0006/progress.csv,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/006_grid_0006/checkpoint_000126/checkpoint-126,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/evaluations/006_grid_0006_vs_ceia_baseline.json,,0.95,compare_checkpoint_agent,ceia_baseline_agent,115.35,-0.03279995918273926,-0.23023998737335205,-1.073199987411499,20.0,False,0.005,True,16.0,0.0,10.0,0.1,True,16.0,0.0,8.0,0.0,32.0,True,16.0,0.0,0.01,True,1.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
007_grid_0007,grid_0007,ERROR,,,,,,,,,,,50679,52663,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/007_grid_0007,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/007_grid_0007/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/007_grid_0007/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.1,True,16.0,0.0,8.0,0.01,32.0,True,16.0,0.0,0.01,True,1.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
008_grid_0008,grid_0008,TERMINATED,1006992,126,148.61207663401004,798.0,0.0,-2.0,0,20,0,20,50711,52695,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/008_grid_0008,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/008_grid_0008/progress.csv,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/008_grid_0008/checkpoint_000126/checkpoint-126,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/evaluations/008_grid_0008_vs_ceia_baseline.json,,1.0,compare_checkpoint_agent,ceia_baseline_agent,43.0,-0.020400047302246094,-0.08579999804496766,-0.20079994201660156,20.0,False,0.005,True,16.0,0.0,10.0,0.1,True,16.0,0.0,8.0,0.05,32.0,True,16.0,0.0,0.01,True,1.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
009_grid_0009,grid_0009,TERMINATED,1006992,126,4.783677434367228,94.85,0.45,-0.28868000507354735,9,11,0,20,50743,52727,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/009_grid_0009,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/009_grid_0009/progress.csv,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/009_grid_0009/checkpoint_000126/checkpoint-126,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/evaluations/009_grid_0009_vs_ceia_baseline.json,,0.55,compare_checkpoint_agent,ceia_baseline_agent,74.85,-0.02479994297027588,-0.14934000372886658,-0.4259999990463257,20.0,False,0.005,True,16.0,0.0,10.0,1,True,16.0,0.0,8.0,0.0,32.0,True,16.0,0.0,0.01,True,1.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
010_grid_0010,grid_0010,TERMINATED,1006992,126,14.466280187237343,185.6,0.3,-0.8380000054836273,6,14,0,20,50775,52759,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/010_grid_0010,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/010_grid_0010/progress.csv,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/010_grid_0010/checkpoint_000126/checkpoint-126,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/evaluations/010_grid_0010_vs_ceia_baseline.json,,0.7,compare_checkpoint_agent,ceia_baseline_agent,87.15,-0.017600059509277344,-0.17392000555992126,-0.5027999877929688,20.0,False,0.005,True,16.0,0.0,10.0,1,True,16.0,0.0,8.0,0.01,32.0,True,16.0,0.0,0.01,True,1.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
011_grid_0011,grid_0011,TERMINATED,1006992,126,17.79118606051737,117.62,0.45,-0.2798799991607666,9,11,0,20,50807,52791,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/011_grid_0011,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/011_grid_0011/progress.csv,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/011_grid_0011/checkpoint_000126/checkpoint-126,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/evaluations/011_grid_0011_vs_ceia_baseline.json,,0.55,compare_checkpoint_agent,ceia_baseline_agent,82.05,-0.016000032424926758,-0.16386000514030458,-0.3808000087738037,20.0,False,0.005,True,16.0,0.0,10.0,1,True,16.0,0.0,8.0,0.05,32.0,True,16.0,0.0,0.01,True,1.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
012_grid_0012,grid_0012,ERROR,,,,,,,,,,,50839,52823,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/012_grid_0012,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/012_grid_0012/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/012_grid_0012/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,5,True,16.0,0.0,8.0,0.0,32.0,True,16.0,0.0,0.01,True,1.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
