run_name,label,status,timesteps_total,training_iteration,train_episode_reward_mean,train_episode_len_mean,vs_ceia_win_rate,vs_ceia_reward_mean,vs_ceia_wins,vs_ceia_losses,vs_ceia_draws,eval_episodes,train_base_port,eval_base_port,trial_dir,progress_csv,checkpoint_path,eval_json_path,error_file,ceia_win_rate,eval_agent_module,eval_baseline_module,eval_episode_len_mean,eval_episode_reward_max,eval_episode_reward_mean,eval_episode_reward_min,reward_shaping.ball_proximity.distance_scale,reward_shaping.ball_proximity.enabled,reward_shaping.ball_proximity.weight,reward_shaping.ball_velocity_to_goal.enabled,reward_shaping.ball_velocity_to_goal.goal_x,reward_shaping.ball_velocity_to_goal.goal_y,reward_shaping.ball_velocity_to_goal.speed_scale,reward_shaping.ball_velocity_to_goal.weight,reward_shaping.goal_distance.distance_scale,reward_shaping.goal_distance.enabled,reward_shaping.goal_distance.goal_x,reward_shaping.goal_distance.goal_y,reward_shaping.goal_distance.weight,reward_shaping.goal_event.enabled,reward_shaping.goal_event.scale,reward_shaping.goal_event.threshold,reward_shaping.goal_velocity.enabled,reward_shaping.goal_velocity.goal_x,reward_shaping.goal_velocity.goal_y,reward_shaping.goal_velocity.speed_scale,reward_shaping.goal_velocity.weight,reward_shaping.possession_balance.control_radius,reward_shaping.possession_balance.enabled,reward_shaping.possession_balance.pass_bonus,reward_shaping.possession_balance.weight,reward_shaping.teammate_spacing.enabled,reward_shaping.teammate_spacing.target_distance,reward_shaping.teammate_spacing.tolerance,reward_shaping.teammate_spacing.weight
000_goal_event_only,goal_event_only,TERMINATED,1003968,126,-0.8620079979300499,132.75,0.1,-1.6137199997901917,2,18,0,20,50167,54647,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/000_goal_event_only,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/000_goal_event_only/progress.csv,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/000_goal_event_only/checkpoint_000126/checkpoint-126,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/evaluations/000_goal_event_only_vs_ceia_baseline.json,,0.9,compare_checkpoint_agent,ceia_baseline_agent,85.55,-0.023599982261657715,-0.17065999507904053,-1.1096000671386719,20.0,False,0.005,True,16.0,0.0,10.0,0.0,32.0,True,16.0,0.0,0.0,True,3.0,0.5,True,16.0,0.0,10.0,0.0,1.75,True,0.0,0.0,True,6.0,4.0,0.0
001_default,default,TERMINATED,1003968,126,37.985540853054815,613.81,0.1,-1.6048400044441222,2,18,0,20,50551,54775,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/001_default,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/001_default/progress.csv,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/001_default/checkpoint_000126/checkpoint-126,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/evaluations/001_default_vs_ceia_baseline.json,,0.9,compare_checkpoint_agent,ceia_baseline_agent,40.45,-0.023200035095214844,-0.08062000274658203,-0.18239998817443848,20.0,False,0.005,True,16.0,0.0,10.0,0.02,32.0,True,16.0,0.0,0.01,True,3.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
002_dense_scale_0p5,dense_scale_0p5,TERMINATED,1003968,126,4.1587977425329585,176.41,0.2,-1.2162400007247924,4,16,0,20,50679,54903,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/002_dense_scale_0p5,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/002_dense_scale_0p5/progress.csv,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/002_dense_scale_0p5/checkpoint_000126/checkpoint-126,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/evaluations/002_dense_scale_0p5_vs_ceia_baseline.json,,0.8,compare_checkpoint_agent,ceia_baseline_agent,69.8,-0.0252000093460083,-0.13928000926971434,-0.4055999517440796,20.0,False,0.005,True,16.0,0.0,10.0,0.01,32.0,True,16.0,0.0,0.005,True,3.0,0.5,True,16.0,0.0,10.0,0.005,1.75,True,0.01,0.005,True,6.0,4.0,0.005
003_dense_scale_1p5,dense_scale_1p5,ERROR,,,,,,,,,,,50807,55031,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/003_dense_scale_1p5,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/003_dense_scale_1p5/progress.csv,,,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/003_dense_scale_1p5/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.03,32.0,True,16.0,0.0,0.015,True,3.0,0.5,True,16.0,0.0,10.0,0.015,1.75,True,0.03,0.015,True,6.0,4.0,0.015
004_dense_scale_2,dense_scale_2,TERMINATED,1003968,126,90.61996664940244,722.69,0.05,-1.8030200004577637,1,19,0,20,51063,55287,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/004_dense_scale_2,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/004_dense_scale_2/progress.csv,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/004_dense_scale_2/checkpoint_000126/checkpoint-126,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/evaluations/004_dense_scale_2_vs_ceia_baseline.json,,0.95,compare_checkpoint_agent,ceia_baseline_agent,35.0,-0.020799994468688965,-0.06967998743057251,-0.1380000114440918,20.0,False,0.005,True,16.0,0.0,10.0,0.04,32.0,True,16.0,0.0,0.02,True,3.0,0.5,True,16.0,0.0,10.0,0.02,1.75,True,0.04,0.02,True,6.0,4.0,0.02
005_ball_vel_goal_w_0,ball_vel_goal_w_0,TERMINATED,1003968,126,19.02536491853884,339.92,0.35,-0.6363600015640258,7,13,0,20,51191,55415,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/005_ball_vel_goal_w_0,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/005_ball_vel_goal_w_0/progress.csv,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/005_ball_vel_goal_w_0/checkpoint_000126/checkpoint-126,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/evaluations/005_ball_vel_goal_w_0_vs_ceia_baseline.json,,0.65,compare_checkpoint_agent,ceia_baseline_agent,64.65,-0.029199957847595215,-0.1289199948310852,-0.3935999870300293,20.0,False,0.005,True,16.0,0.0,10.0,0.0,32.0,True,16.0,0.0,0.01,True,3.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
006_ball_vel_goal_w_0p01,ball_vel_goal_w_0p01,TERMINATED,1003968,126,31.06168507538246,505.27,0.05,-1.8083199977874755,1,19,0,20,51447,55543,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/006_ball_vel_goal_w_0p01,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/006_ball_vel_goal_w_0p01/progress.csv,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/006_ball_vel_goal_w_0p01/checkpoint_000126/checkpoint-126,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/evaluations/006_ball_vel_goal_w_0p01_vs_ceia_baseline.json,,0.95,compare_checkpoint_agent,ceia_baseline_agent,64.75,-0.02799999713897705,-0.12926000356674194,-0.38600003719329834,20.0,False,0.005,True,16.0,0.0,10.0,0.01,32.0,True,16.0,0.0,0.01,True,3.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
007_ball_vel_goal_w_0p04,ball_vel_goal_w_0p04,TERMINATED,1003968,126,42.253882433806965,688.52,0.0,-2.0,0,20,0,20,51575,55671,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/007_ball_vel_goal_w_0p04,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/007_ball_vel_goal_w_0p04/progress.csv,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/007_ball_vel_goal_w_0p04/checkpoint_000126/checkpoint-126,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/evaluations/007_ball_vel_goal_w_0p04_vs_ceia_baseline.json,,1.0,compare_checkpoint_agent,ceia_baseline_agent,52.7,-0.023599982261657715,-0.10510001182556153,-0.32280004024505615,20.0,False,0.005,True,16.0,0.0,10.0,0.04,32.0,True,16.0,0.0,0.01,True,3.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
008_goal_dist_w_0,goal_dist_w_0,TERMINATED,1003968,126,3.9358631422577286,222.41,0.25,-1.013699996471405,5,15,0,20,51703,55927,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/008_goal_dist_w_0,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/008_goal_dist_w_0/progress.csv,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/008_goal_dist_w_0/checkpoint_000126/checkpoint-126,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/evaluations/008_goal_dist_w_0_vs_ceia_baseline.json,,0.75,compare_checkpoint_agent,ceia_baseline_agent,52.15,-0.02199995517730713,-0.10397999882698059,-0.24119997024536133,20.0,False,0.005,True,16.0,0.0,10.0,0.02,32.0,True,16.0,0.0,0.0,True,3.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
009_goal_dist_w_0p005,goal_dist_w_0p005,TERMINATED,1003968,126,22.90392515789891,505.04,0.1,-1.6092400014400483,2,18,0,20,52087,56055,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/009_goal_dist_w_0p005,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/009_goal_dist_w_0p005/progress.csv,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/PPO_reward_weight_sweep/009_goal_dist_w_0p005/checkpoint_000126/checkpoint-126,/home/dmifsud/Projects/DRL/final_project/soccer-twos-starter/ray_results_reward_sweep_v2/evaluations/009_goal_dist_w_0p005_vs_ceia_baseline.json,,0.9,compare_checkpoint_agent,ceia_baseline_agent,67.05,-0.02199995517730713,-0.13386000394821168,-0.5839999914169312,20.0,False,0.005,True,16.0,0.0,10.0,0.02,32.0,True,16.0,0.0,0.005,True,3.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
